,year,rating,vote,runtime,kind_N,genre_N,country_N,language_N,director_N
184,1984.0,7.6,Few,91.0,1,6,9,9,9
188,2005.0,8.1,None,126.0,7,6,8,1,10
189,1971.0,6.7,Few,142.0,1,7,8,9,9
190,1998.0,7.1,None,76.0,4,2,6,6,10
191,1959.0,9.0,Many,97.0,4,7,8,9,10
192,1985.0,7.6,None,143.0,1,6,7,1,9
194,2003.0,6.8,Many,180.0,1,0,8,1,9
195,1997.0,8.4,Many,108.0,1,2,6,6,9
198,1997.0,8.3,Few,110.0,1,4,8,1,9
199,1988.0,8.2,Several,90.0,1,6,8,1,9
200,2002.0,7.1,None,97.0,3,6,7,1,9
201,1992.0,7.0,Few,91.0,2,7,8,1,10
202,2001.0,7.3,Many,143.0,1,7,5,5,9
203,1999.0,5.9,Several,70.0,3,3,8,1,9
204,2000.0,6.7,Many,102.0,1,0,4,4,9
205,2004.0,8.4,None,33.0,7,9,8,1,9
206,2003.0,8.0,None,102.0,0,7,8,1,9
207,2003.0,8.7,None,60.0,1,6,9,9,10
208,1959.0,9.0,Many,30.0,4,7,8,9,10
209,2005.0,3.5,Few,50.0,7,0,9,1,9
210,1995.0,6.3,Several,118.0,1,4,7,1,9
211,2000.0,8.0,None,97.0,7,6,8,1,10
212,2005.0,2.2,None,44.0,7,0,8,1,9
213,1969.0,7.6,Many,60.0,1,4,7,1,9
214,1979.0,7.6,Few,93.0,1,6,8,1,9
215,2003.0,6.1,None,93.0,4,2,6,6,10
218,1988.0,5.2,Many,96.0,1,4,0,1,9
219,2003.0,5.1,None,83.0,3,5,1,1,9
221,1999.0,7.5,Several,57.0,4,10,8,1,10
223,2005.0,5.5,None,182.0,7,6,8,1,9
224,1995.0,7.5,Many,97.0,1,4,4,4,9
225,1996.0,8.1,None,90.0,0,5,7,1,9
226,1999.0,6.9,Several,105.0,1,4,1,1,9
227,1963.0,8.4,Many,40.0,1,5,6,6,0
228,2002.0,4.5,Few,98.0,1,0,2,2,9
230,1997.0,6.5,None,92.0,4,2,6,6,10
231,1983.0,6.7,Several,6.0,1,0,3,0,9
233,1959.0,9.0,Many,14.0,4,7,8,9,10
234,1974.0,7.9,Several,115.0,3,7,8,1,9
235,1996.0,6.8,Few,98.0,1,2,6,6,9
236,1986.0,6.4,Several,88.0,1,3,8,1,9
237,1998.0,5.9,Several,32.0,1,7,8,1,9
238,1995.0,7.1,Several,95.0,1,5,2,7,9
239,1983.0,7.6,Several,89.0,3,7,8,1,9
241,1974.0,5.9,Several,240.0,1,8,7,1,9
243,1943.0,6.3,Few,110.0,1,10,8,1,9
244,1976.0,3.8,Few,90.0,4,4,8,1,10
245,2001.0,6.9,Many,113.0,4,4,8,1,10
247,2000.0,5.8,Several,30.0,1,0,3,0,9
249,2005.0,6.8,None,360.0,3,2,8,1,9
251,2004.0,4.3,None,109.0,7,5,8,1,9
252,1967.0,6.1,Several,93.0,1,10,7,1,9
253,1993.0,7.4,Many,103.0,1,4,0,1,9
254,1980.0,6.5,Few,91.0,0,1,7,1,9
255,2003.0,7.3,Few,103.0,4,2,1,1,10
256,2002.0,6.2,Several,24.0,1,4,9,8,9
257,1999.0,2.0,Several,88.0,1,4,8,1,9
258,1971.0,6.8,Several,102.0,1,4,9,5,9
259,2003.0,6.0,None,95.0,1,2,1,1,9
260,1993.0,7.7,Many,160.0,1,5,4,4,9
261,2002.0,7.0,None,109.0,3,6,8,1,9
262,2002.0,5.7,Few,100.0,3,6,8,1,9
263,1992.0,7.4,Several,101.0,2,3,1,1,10
264,1990.0,7.3,Few,93.0,0,4,8,1,9
265,1994.0,6.6,Few,90.0,3,0,8,1,9
266,2004.0,7.7,Many,30.0,1,7,7,1,9
267,2003.0,7.7,None,92.0,7,9,7,1,10
268,1999.0,5.8,None,91.0,7,10,8,1,9
269,1977.0,6.5,None,24.0,1,0,9,7,9
271,2001.0,6.4,Several,100.0,1,4,8,1,9
273,2002.0,7.9,Several,84.0,1,6,8,1,1
274,1980.0,4.6,None,105.0,1,0,3,7,9
275,2003.0,7.2,None,107.0,1,7,8,1,9
276,1991.0,5.7,Many,60.0,1,4,8,1,9
277,2000.0,8.1,Many,63.0,1,7,3,0,9
278,1965.0,7.6,Many,80.0,1,4,9,9,9
279,1990.0,7.1,None,89.0,7,10,8,1,9
280,2000.0,6.4,Several,101.0,1,4,0,1,9
281,1951.0,5.9,Few,112.0,1,10,8,1,9
282,1995.0,5.0,Few,90.0,3,10,1,1,9
283,1994.0,6.6,Several,105.0,1,5,9,8,9
284,2003.0,6.8,None,44.0,3,6,8,1,9
287,1992.0,6.6,Many,98.0,1,7,8,1,9
288,2001.0,7.6,Few,91.0,3,2,8,1,9
289,1978.0,6.9,Many,94.0,1,7,8,1,9
291,1997.0,8.1,Many,74.0,4,2,8,1,10
292,1993.0,6.0,Few,90.0,1,10,1,1,9
293,2004.0,7.6,None,83.0,2,6,8,1,10
294,1998.0,7.5,None,85.0,2,6,8,1,10
295,1993.0,8.6,Many,30.0,4,5,8,1,10
296,1987.0,6.9,None,105.0,3,5,7,1,9
297,1988.0,4.9,None,100.0,3,7,8,1,9
298,2003.0,6.3,Several,73.0,3,0,8,1,9
299,1989.0,7.5,Many,105.0,1,6,8,1,9
300,1994.0,5.5,Several,22.0,1,1,9,1,9
301,1992.0,8.4,Many,103.0,4,2,9,9,10
302,1959.0,6.3,Few,112.0,1,4,7,1,9
303,1991.0,6.3,Many,56.0,1,4,8,1,9
304,1987.0,7.4,Many,89.0,1,4,9,1,9
305,1992.0,7.1,Many,112.0,1,7,2,2,9
306,1997.0,7.6,None,103.0,7,6,8,1,10
307,1999.0,6.1,Few,60.0,1,7,8,1,9
308,2002.0,5.9,Few,100.0,3,0,8,1,9
309,1994.0,6.7,Several,81.0,1,4,7,9,9
310,1998.0,5.5,Few,88.0,1,10,3,0,9
311,1983.0,4.7,Several,82.0,1,0,9,7,9
312,1996.0,7.4,Few,86.0,4,0,9,1,10
313,2004.0,6.3,Many,92.0,3,0,8,1,9
314,1978.0,7.7,Many,171.0,1,8,8,1,9
315,1987.0,8.6,Many,90.0,4,0,8,1,10
316,1984.0,7.5,Few,91.0,4,2,6,6,10
317,2001.0,6.1,Many,778.0,1,0,8,1,9
318,1996.0,5.0,Many,207.0,1,0,0,1,9
319,2003.0,8.0,Several,165.0,1,6,8,1,9
320,1958.0,5.2,Several,125.0,1,8,7,1,9
321,1996.0,7.2,None,25.0,1,6,8,1,9
322,1998.0,7.1,None,90.0,7,6,8,1,9
323,2001.0,7.1,Several,88.0,1,4,0,1,9
324,1997.0,7.9,None,105.0,0,6,8,1,9
325,1943.0,7.1,Several,60.0,1,10,8,1,9
326,2004.0,4.2,None,142.0,7,2,8,1,9
327,1966.0,7.2,Many,115.0,1,0,6,6,9
328,1972.0,6.5,Few,80.0,1,7,2,2,9
329,1991.0,7.8,Many,30.0,1,5,8,1,9
330,1995.0,6.9,Several,92.0,1,7,2,2,9
331,2000.0,8.2,None,52.0,3,6,8,1,9
332,2003.0,6.5,None,90.0,0,6,9,9,9
335,1959.0,7.0,Several,138.0,1,7,7,1,9
336,1971.0,3.6,Several,98.0,1,8,8,1,9
337,2001.0,6.9,None,22.0,3,4,7,1,9
338,1928.0,7.6,Several,95.0,1,10,9,9,9
339,1944.0,7.3,Several,25.0,1,5,8,1,9
340,1960.0,7.7,Many,33.0,1,7,2,2,9
341,1959.0,7.0,Many,107.0,1,4,7,1,9
342,2000.0,7.7,None,99.0,0,6,8,1,9
343,1995.0,6.4,None,98.0,2,2,6,1,10
344,1959.0,7.5,Several,60.0,1,5,7,1,9
345,2001.0,7.9,Few,180.0,1,6,9,1,9
346,2005.0,2.3,Few,90.0,7,0,8,1,9
347,1983.0,8.2,Several,113.0,1,6,8,1,9
348,1998.0,5.5,Few,90.0,0,10,1,1,9
349,2004.0,8.1,Many,182.0,4,0,1,1,10
